Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,119.2,-91.745,-90,top
C2,100nF,C_0603_1608Metric,133.51,-78.75,0,top
C3,100nF,C_0603_1608Metric,151.575,-81.98,0,top
C4,100nF,C_0603_1608Metric,169.2,-83.885,-90,top
C5,100nF,C_0603_1608Metric,154.21,-91.84,0,top
C6,10uF,C_0805_2012Metric,172.24,-96.93,180,top
R1,4k7,R_0603_1608Metric,156.825,-78.92,0,top
R2,4k7,R_0603_1608Metric,156.825,-81.43,0,top
R3,4k7,R_0603_1608Metric,156.825,-83.94,0,top
R4,4k7,R_0603_1608Metric,156.825,-86.45,0,top
R5,4k7,R_0603_1608Metric,156.855,-89.18,0,top
U1,SST39SF040,TSOP-I-32_11.8x8mm_P0.5mm,128.2,-90.45,0,top
U2,74HCT574PW,TSSOP-20_4.4x6.5mm_P0.65mm,127.8425,-81.675,0,top
U3,74HCT574PW,TSSOP-20_4.4x6.5mm_P0.65mm,146.0825,-84.925,0,top
U4,74HCT139PW,TSSOP-16_4.4x5mm_P0.65mm,164.0975,-85.345,0,top
U5,74HCT139PW,TSSOP-16_4.4x5mm_P0.65mm,148.6,-94.02,0,top
