Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",119.200000,-91.745000,-90.000000,top
"C2","100nF","C_0603_1608Metric",133.510000,-78.750000,0.000000,top
"C3","100nF","C_0603_1608Metric",151.575000,-81.980000,0.000000,top
"C4","100nF","C_0603_1608Metric",169.200000,-83.885000,-90.000000,top
"C5","100nF","C_0603_1608Metric",154.210000,-91.840000,0.000000,top
"C6","10uF","C_0805_2012Metric",172.240000,-96.930000,180.000000,top
"R1","4k7","R_0603_1608Metric",156.825000,-78.920000,0.000000,top
"R2","4k7","R_0603_1608Metric",156.825000,-81.430000,0.000000,top
"R3","4k7","R_0603_1608Metric",156.825000,-83.940000,0.000000,top
"R4","4k7","R_0603_1608Metric",156.825000,-86.450000,0.000000,top
"R5","4k7","R_0603_1608Metric",156.855000,-89.180000,0.000000,top
"U1","SST39SF040","TSOP-I-32_11.8x8mm_P0.5mm",128.200000,-90.450000,0.000000,top
"U2","74HCT574PW","TSSOP-20_4.4x6.5mm_P0.65mm",127.842500,-81.675000,0.000000,top
"U3","74HCT574PW","TSSOP-20_4.4x6.5mm_P0.65mm",146.082500,-84.925000,0.000000,top
"U4","74HCT139PW","TSSOP-16_4.4x5mm_P0.65mm",164.097500,-85.345000,0.000000,top
"U5","74HCT139PW","TSSOP-16_4.4x5mm_P0.65mm",148.600000,-94.020000,0.000000,top
